	s1	s2	labels
0	http://www.openkg.cn/2019-nCoV/health/resource/R1011	http://www.openkg.cn/COVID-19/medical/resource/R94	1.0
1	http://www.openkg.cn/2019-nCoV/health/resource/R1165	http://www.openkg.cn/COVID-19/medical/resource/R121	1.0
2	http://www.openkg.cn/2019-nCoV/health/resource/R1192	http://www.openkg.cn/COVID-19/medical/resource/R73	1.0
3	http://www.openkg.cn/2019-nCoV/health/resource/R1231	http://www.openkg.cn/COVID-19/medical/resource/R84	1.0
4	http://www.openkg.cn/2019-nCoV/health/resource/R1235	http://www.openkg.cn/COVID-19/medical/resource/R113	1.0
5	http://www.openkg.cn/2019-nCoV/health/resource/R1319	http://www.openkg.cn/COVID-19/medical/resource/R156	1.0
6	http://www.openkg.cn/2019-nCoV/health/resource/R1437	http://www.openkg.cn/COVID-19/medical/resource/R116	1.0
7	http://www.openkg.cn/2019-nCoV/health/resource/R1453	http://www.openkg.cn/COVID-19/medical/resource/R111	1.0
8	http://www.openkg.cn/2019-nCoV/health/resource/R1460	http://www.openkg.cn/COVID-19/medical/resource/R105	1.0
9	http://www.openkg.cn/2019-nCoV/health/resource/R1491	http://www.openkg.cn/COVID-19/medical/resource/R108	1.0
10	http://www.openkg.cn/2019-nCoV/health/resource/R1531	http://www.openkg.cn/COVID-19/medical/resource/R90	1.0
11	http://www.openkg.cn/2019-nCoV/health/resource/R1552	http://www.openkg.cn/COVID-19/medical/resource/R139	1.0
12	http://www.openkg.cn/2019-nCoV/health/resource/R1619	http://www.openkg.cn/COVID-19/medical/resource/R85	1.0
13	http://www.openkg.cn/2019-nCoV/health/resource/R1627	http://www.openkg.cn/COVID-19/medical/resource/R133	1.0
14	http://www.openkg.cn/2019-nCoV/health/resource/R171	http://www.openkg.cn/COVID-19/medical/resource/R80	1.0
15	http://www.openkg.cn/2019-nCoV/health/resource/R178	http://www.openkg.cn/COVID-19/medical/resource/R132	1.0
16	http://www.openkg.cn/2019-nCoV/health/resource/R1833	http://www.openkg.cn/COVID-19/medical/resource/R120	1.0
17	http://www.openkg.cn/2019-nCoV/health/resource/R1984	http://www.openkg.cn/COVID-19/medical/resource/R146	1.0
18	http://www.openkg.cn/2019-nCoV/health/resource/R202	http://www.openkg.cn/COVID-19/medical/resource/R100	1.0
19	http://www.openkg.cn/2019-nCoV/health/resource/R2059	http://www.openkg.cn/COVID-19/medical/resource/R135	1.0
20	http://www.openkg.cn/2019-nCoV/health/resource/R223	http://www.openkg.cn/COVID-19/medical/resource/R194	1.0
21	http://www.openkg.cn/2019-nCoV/health/resource/R223	http://www.openkg.cn/COVID-19/medical/resource/R243	1.0
22	http://www.openkg.cn/2019-nCoV/health/resource/R2238	http://www.openkg.cn/COVID-19/medical/resource/R130	1.0
23	http://www.openkg.cn/2019-nCoV/health/resource/R2276	http://www.openkg.cn/COVID-19/medical/resource/R104	1.0
24	http://www.openkg.cn/2019-nCoV/health/resource/R2306	http://www.openkg.cn/COVID-19/medical/resource/R67	1.0
25	http://www.openkg.cn/2019-nCoV/health/resource/R2367	http://www.openkg.cn/COVID-19/medical/resource/R109	1.0
26	http://www.openkg.cn/2019-nCoV/health/resource/R2445	http://www.openkg.cn/COVID-19/medical/resource/R138	1.0
27	http://www.openkg.cn/2019-nCoV/health/resource/R2651	http://www.openkg.cn/COVID-19/medical/resource/R157	1.0
28	http://www.openkg.cn/2019-nCoV/health/resource/R2696	http://www.openkg.cn/COVID-19/medical/resource/R202	1.0
29	http://www.openkg.cn/2019-nCoV/health/resource/R2817	http://www.openkg.cn/COVID-19/medical/resource/R198	1.0
30	http://www.openkg.cn/2019-nCoV/health/resource/R2826	http://www.openkg.cn/COVID-19/medical/resource/R160	1.0
31	http://www.openkg.cn/2019-nCoV/health/resource/R284	http://www.openkg.cn/COVID-19/medical/resource/R144	1.0
32	http://www.openkg.cn/2019-nCoV/health/resource/R292	http://www.openkg.cn/COVID-19/medical/resource/R106	1.0
