	s1	s2	labels
0	http://www.openkg.cn/2019-nCoV/health/resource/R1450	http://www.openkg.cn/COVID-19/character/resource/R274	-1.0
1	http://www.openkg.cn/2019-nCoV/health/resource/R1450	http://www.openkg.cn/COVID-19/character/resource/R309	1.0
2	http://www.openkg.cn/2019-nCoV/health/resource/R1616	http://www.openkg.cn/COVID-19/character/resource/R201	1.0
3	http://www.openkg.cn/2019-nCoV/health/resource/R1653	http://www.openkg.cn/COVID-19/character/resource/R552	1.0
4	http://www.openkg.cn/2019-nCoV/health/resource/R2038	http://www.openkg.cn/COVID-19/character/resource/R643	1.0
5	http://www.openkg.cn/2019-nCoV/health/resource/R2166	http://www.openkg.cn/COVID-19/character/resource/R783	-1.0
6	http://www.openkg.cn/2019-nCoV/health/resource/R2207	http://www.openkg.cn/COVID-19/character/resource/R649	1.0
7	http://www.openkg.cn/2019-nCoV/health/resource/R2440	http://www.openkg.cn/COVID-19/character/resource/R113	-1.0
8	http://www.openkg.cn/2019-nCoV/health/resource/R2700	http://www.openkg.cn/COVID-19/character/resource/R127	-1.0
9	http://www.openkg.cn/2019-nCoV/health/resource/R2700	http://www.openkg.cn/COVID-19/character/resource/R146	1.0
10	http://www.openkg.cn/2019-nCoV/health/resource/R3176	http://www.openkg.cn/COVID-19/character/resource/R636	1.0
11	http://www.openkg.cn/2019-nCoV/health/resource/R3586	http://www.openkg.cn/COVID-19/character/resource/R611	1.0
12	http://www.openkg.cn/2019-nCoV/health/resource/R3959	http://www.openkg.cn/COVID-19/character/resource/R646	1.0
13	http://www.openkg.cn/2019-nCoV/health/resource/R4075	http://www.openkg.cn/COVID-19/character/resource/R382	1.0
14	http://www.openkg.cn/2019-nCoV/health/resource/R5371	http://www.openkg.cn/COVID-19/character/resource/R572	1.0
15	http://www.openkg.cn/2019-nCoV/health/resource/R5454	http://www.openkg.cn/COVID-19/character/resource/R606	1.0
16	http://www.openkg.cn/2019-nCoV/health/resource/R5454	http://www.openkg.cn/COVID-19/character/resource/R608	1.0
17	http://www.openkg.cn/2019-nCoV/health/resource/R6378	http://www.openkg.cn/COVID-19/character/resource/R60	-1.0
18	http://www.openkg.cn/2019-nCoV/health/resource/R6800	http://www.openkg.cn/COVID-19/character/resource/R391	1.0
19	http://www.openkg.cn/2019-nCoV/health/resource/R827	http://www.openkg.cn/COVID-19/character/resource/R640	1.0
