	s1	s2	labels
0	http://www.openkg.cn/COVID-19/wiki/resource/R1176	http://www.openkg.cn/COVID-19/medical/resource/R163	1.0
1	http://www.openkg.cn/COVID-19/wiki/resource/R15877	http://www.openkg.cn/COVID-19/medical/resource/R240	1.0
2	http://www.openkg.cn/COVID-19/wiki/resource/R17492	http://www.openkg.cn/COVID-19/medical/resource/R362	1.0
3	http://www.openkg.cn/COVID-19/wiki/resource/R1975	http://www.openkg.cn/COVID-19/medical/resource/R99	1.0
4	http://www.openkg.cn/COVID-19/wiki/resource/R19763	http://www.openkg.cn/COVID-19/medical/resource/R160	1.0
5	http://www.openkg.cn/COVID-19/wiki/resource/R21886	http://www.openkg.cn/COVID-19/medical/resource/R256	1.0
6	http://www.openkg.cn/COVID-19/wiki/resource/R2197	http://www.openkg.cn/COVID-19/medical/resource/R112	1.0
7	http://www.openkg.cn/COVID-19/wiki/resource/R23260	http://www.openkg.cn/COVID-19/medical/resource/R356	1.0
8	http://www.openkg.cn/COVID-19/wiki/resource/R24199	http://www.openkg.cn/COVID-19/medical/resource/R133	1.0
9	http://www.openkg.cn/COVID-19/wiki/resource/R24397	http://www.openkg.cn/COVID-19/medical/resource/R120	1.0
10	http://www.openkg.cn/COVID-19/wiki/resource/R24438	http://www.openkg.cn/COVID-19/medical/resource/R321	1.0
11	http://www.openkg.cn/COVID-19/wiki/resource/R24505	http://www.openkg.cn/COVID-19/medical/resource/R161	1.0
12	http://www.openkg.cn/COVID-19/wiki/resource/R24505	http://www.openkg.cn/COVID-19/medical/resource/R199	1.0
13	http://www.openkg.cn/COVID-19/wiki/resource/R24522	http://www.openkg.cn/COVID-19/medical/resource/R195	1.0
14	http://www.openkg.cn/COVID-19/wiki/resource/R24611	http://www.openkg.cn/COVID-19/medical/resource/R203	1.0
15	http://www.openkg.cn/COVID-19/wiki/resource/R24651	http://www.openkg.cn/COVID-19/medical/resource/R242	1.0
16	http://www.openkg.cn/COVID-19/wiki/resource/R2488	http://www.openkg.cn/COVID-19/medical/resource/R194	1.0
17	http://www.openkg.cn/COVID-19/wiki/resource/R2488	http://www.openkg.cn/COVID-19/medical/resource/R243	1.0
18	http://www.openkg.cn/COVID-19/wiki/resource/R2535	http://www.openkg.cn/COVID-19/medical/resource/R400	1.0
19	http://www.openkg.cn/COVID-19/wiki/resource/R25356	http://www.openkg.cn/COVID-19/medical/resource/R198	1.0
20	http://www.openkg.cn/COVID-19/wiki/resource/R25366	http://www.openkg.cn/COVID-19/medical/resource/R162	1.0
21	http://www.openkg.cn/COVID-19/wiki/resource/R25413	http://www.openkg.cn/COVID-19/medical/resource/R400	1.0
22	http://www.openkg.cn/COVID-19/wiki/resource/R25834	http://www.openkg.cn/COVID-19/medical/resource/R319	1.0
23	http://www.openkg.cn/COVID-19/wiki/resource/R25983	http://www.openkg.cn/COVID-19/medical/resource/R196	1.0
24	http://www.openkg.cn/COVID-19/wiki/resource/R25986	http://www.openkg.cn/COVID-19/medical/resource/R84	1.0
25	http://www.openkg.cn/COVID-19/wiki/resource/R2614	http://www.openkg.cn/COVID-19/medical/resource/R319	1.0
