	s1	s2	labels
0	http://www.openkg.cn/COVID-19/wiki/resource/R10038	http://www.openkg.cn/2019-nCoV/health/resource/R6422	1.0
1	http://www.openkg.cn/COVID-19/wiki/resource/R10048	http://www.openkg.cn/2019-nCoV/health/resource/R6663	1.0
2	http://www.openkg.cn/COVID-19/wiki/resource/R10057	http://www.openkg.cn/2019-nCoV/health/resource/R6719	1.0
3	http://www.openkg.cn/COVID-19/wiki/resource/R10074	http://www.openkg.cn/2019-nCoV/health/resource/R6575	1.0
4	http://www.openkg.cn/COVID-19/wiki/resource/R10102	http://www.openkg.cn/2019-nCoV/health/resource/R6715	1.0
5	http://www.openkg.cn/COVID-19/wiki/resource/R1011	http://www.openkg.cn/2019-nCoV/health/resource/R6268	1.0
6	http://www.openkg.cn/COVID-19/wiki/resource/R1017	http://www.openkg.cn/2019-nCoV/health/resource/R6539	1.0
7	http://www.openkg.cn/COVID-19/wiki/resource/R10215	http://www.openkg.cn/2019-nCoV/health/resource/R6457	1.0
8	http://www.openkg.cn/COVID-19/wiki/resource/R1025	http://www.openkg.cn/2019-nCoV/health/resource/R6332	1.0
9	http://www.openkg.cn/COVID-19/wiki/resource/R10325	http://www.openkg.cn/2019-nCoV/health/resource/R6533	1.0
10	http://www.openkg.cn/COVID-19/wiki/resource/R10338	http://www.openkg.cn/2019-nCoV/health/resource/R3220	1.0
11	http://www.openkg.cn/COVID-19/wiki/resource/R10523	http://www.openkg.cn/2019-nCoV/health/resource/R6342	1.0
12	http://www.openkg.cn/COVID-19/wiki/resource/R10597	http://www.openkg.cn/2019-nCoV/health/resource/R6540	1.0
13	http://www.openkg.cn/COVID-19/wiki/resource/R10598	http://www.openkg.cn/2019-nCoV/health/resource/R6556	1.0
14	http://www.openkg.cn/COVID-19/wiki/resource/R10626	http://www.openkg.cn/2019-nCoV/health/resource/R6270	1.0
15	http://www.openkg.cn/COVID-19/wiki/resource/R1065	http://www.openkg.cn/2019-nCoV/health/resource/R6512	1.0
16	http://www.openkg.cn/COVID-19/wiki/resource/R10737	http://www.openkg.cn/2019-nCoV/health/resource/R6431	1.0
17	http://www.openkg.cn/COVID-19/wiki/resource/R1075	http://www.openkg.cn/2019-nCoV/health/resource/R1304	1.0
18	http://www.openkg.cn/COVID-19/wiki/resource/R10807	http://www.openkg.cn/2019-nCoV/health/resource/R6733	1.0
19	http://www.openkg.cn/COVID-19/wiki/resource/R10869	http://www.openkg.cn/2019-nCoV/health/resource/R7091	1.0
20	http://www.openkg.cn/COVID-19/wiki/resource/R11059	http://www.openkg.cn/2019-nCoV/health/resource/R6263	1.0
21	http://www.openkg.cn/COVID-19/wiki/resource/R1114	http://www.openkg.cn/2019-nCoV/health/resource/R7035	1.0
22	http://www.openkg.cn/COVID-19/wiki/resource/R11140	http://www.openkg.cn/2019-nCoV/health/resource/R6326	1.0
23	http://www.openkg.cn/COVID-19/wiki/resource/R11160	http://www.openkg.cn/2019-nCoV/health/resource/R6298	1.0
24	http://www.openkg.cn/COVID-19/wiki/resource/R1141	http://www.openkg.cn/2019-nCoV/health/resource/R1723	1.0
25	http://www.openkg.cn/COVID-19/wiki/resource/R11422	http://www.openkg.cn/2019-nCoV/health/resource/R6272	1.0
26	http://www.openkg.cn/COVID-19/wiki/resource/R11449	http://www.openkg.cn/2019-nCoV/health/resource/R6783	1.0
