	s1	s2	labels
0	http://www.openkg.cn/COVID-19/wiki/resource/R1283	http://www.openkg.cn/COVID-19/character/resource/R60	1.0
1	http://www.openkg.cn/COVID-19/wiki/resource/R24161	http://www.openkg.cn/COVID-19/character/resource/R382	1.0
2	http://www.openkg.cn/COVID-19/wiki/resource/R26107	http://www.openkg.cn/COVID-19/character/resource/R296	1.0
3	http://www.openkg.cn/COVID-19/wiki/resource/R29020	http://www.openkg.cn/COVID-19/character/resource/R492	1.0
4	http://www.openkg.cn/COVID-19/wiki/resource/R34393	http://www.openkg.cn/COVID-19/character/resource/R296	1.0
5	http://www.openkg.cn/COVID-19/wiki/resource/R37306	http://www.openkg.cn/COVID-19/character/resource/R492	1.0
6	http://www.openkg.cn/COVID-19/wiki/resource/R42679	http://www.openkg.cn/COVID-19/character/resource/R296	1.0
7	http://www.openkg.cn/COVID-19/wiki/resource/R4381	http://www.openkg.cn/COVID-19/character/resource/R296	1.0
8	http://www.openkg.cn/COVID-19/wiki/resource/R4396	http://www.openkg.cn/COVID-19/character/resource/R194	1.0
9	http://www.openkg.cn/COVID-19/wiki/resource/R4396	http://www.openkg.cn/COVID-19/character/resource/R330	1.0
10	http://www.openkg.cn/COVID-19/wiki/resource/R4438	http://www.openkg.cn/COVID-19/character/resource/R295	1.0
11	http://www.openkg.cn/COVID-19/wiki/resource/R7316	http://www.openkg.cn/COVID-19/character/resource/R492	1.0
